model,fault,level,decision_acc_mean,decision_acc_std,miss_rate_mean,miss_rate_std,escalation_mean,escalation_std,under_escalation_mean,under_escalation_std,fa_per_clean_mean,fa_per_clean_std,anomaly_mean_mean,anomaly_mean_std
E_gbm_as_shipped,clean,0.0,0.9346518987341772,0.05391043611933139,0.009177215189873418,0.018354430379746836,0.9905063291139241,0.01898734177215191,0.00031645569620253165,0.0006329113924050633,0.0,0.0,0.2453915933968939,0.03474892131877152
E_gbm_as_shipped,zero,1.0,0.609493670886076,0.10606766946024039,0.007278481012658228,0.014556962025316455,0.9914556962025316,0.017088607594936713,0.0012658227848101266,0.002531645569620253,0.7746835443037974,0.28229125247829606,0.4668619273388782,0.26989732768711244
E_gbm_as_shipped,zero,4.0,0.2982594936708861,0.09651898734177215,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.717048143346245,0.23614822837965785
E_gbm_as_shipped,zero,7.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
E_gbm_as_shipped,saturate,1.0,0.6539556962025317,0.09732311840823049,0.0,0.0,0.8914556962025315,0.19642596506073237,0.10854430379746835,0.19642596506073237,0.0,0.0,0.19810107120205855,0.09999620783195325
E_gbm_as_shipped,saturate,4.0,0.4939873417721519,0.009735835482857705,0.0,0.0,0.8300632911392405,0.21620108646835645,0.16993670886075946,0.21620108646835645,0.0,0.0,0.16826774908774686,0.12236642191248899
E_gbm_as_shipped,saturate,7.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.010792773796891914,0.0011639445504525732
E_gbm_as_shipped,anomaly_forced,0.0,0.6229430379746835,0.051766387287002724,0.42025316455696193,0.050658616892590734,0.49746835443037973,0.02524911931053,0.08227848101265822,0.041430323668488964,0.0,0.0,0.0,0.0
E_gbm_as_shipped,anomaly_forced,0.25,0.6757911392405063,0.06657689370341849,0.00949367088607595,0.0189873417721519,0.9901898734177216,0.019620253164556976,0.00031645569620253165,0.0006329113924050633,0.7082278481012658,0.3748438760620834,0.25,0.0
E_gbm_as_shipped,anomaly_forced,0.5,0.6745253164556961,0.06725632844387719,0.009177215189873418,0.018354430379746836,0.9905063291139241,0.01898734177215191,0.00031645569620253165,0.0006329113924050633,0.7082278481012658,0.3748438760620834,0.5,0.0
E_gbm_as_shipped,anomaly_forced,0.75,0.6745253164556961,0.06725632844387719,0.009177215189873418,0.018354430379746836,0.9905063291139241,0.01898734177215191,0.00031645569620253165,0.0006329113924050633,0.7082278481012658,0.3748438760620834,0.75,0.0
E_gbm_as_shipped,anomaly_forced,1.0,0.6745253164556961,0.06725632844387719,0.009177215189873418,0.018354430379746836,0.9905063291139241,0.01898734177215191,0.00031645569620253165,0.0006329113924050633,0.7082278481012658,0.3748438760620834,1.0,0.0
E_gbm_hazard_weighted,clean,0.0,0.9318037974683545,0.05167393037999452,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2453915933968939,0.03474892131877152
E_gbm_hazard_weighted,zero,1.0,0.6680379746835443,0.08270883073155257,0.00031645569620253165,0.0006329113924050633,0.9996835443037975,0.0006329113924050667,0.0,0.0,0.5873417721518986,0.47973932060511565,0.4668619273388782,0.26989732768711244
E_gbm_hazard_weighted,zero,4.0,0.39066455696202534,0.14706884821200153,0.0,0.0,1.0,0.0,0.0,0.0,0.6120253164556961,0.43665198675702366,0.717048143346245,0.23614822837965785
E_gbm_hazard_weighted,zero,7.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
E_gbm_hazard_weighted,saturate,1.0,0.6257911392405063,0.18144050194008987,0.0990506329113924,0.1981012658227848,0.7208860759493672,0.36505410678592426,0.18006329113924052,0.36012658227848104,0.0,0.0,0.19810107120205855,0.09999620783195325
E_gbm_hazard_weighted,saturate,4.0,0.44604430379746834,0.19198418011022197,0.16487341772151898,0.32974683544303796,0.395253164556962,0.3616389458106842,0.43987341772151894,0.3304273330102344,0.0,0.0,0.16826774908774686,0.12236642191248899
E_gbm_hazard_weighted,saturate,7.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.010792773796891914,0.0011639445504525732
E_gbm_hazard_weighted,anomaly_forced,0.0,0.689873417721519,0.10356130512524313,0.33069620253164556,0.1398505050252174,0.6674050632911392,0.13983761498371114,0.00189873417721519,0.0037974683544303805,0.0,0.0,0.0,0.0
E_gbm_hazard_weighted,anomaly_forced,0.25,0.7588607594936709,0.014200012750749719,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
E_gbm_hazard_weighted,anomaly_forced,0.5,0.7588607594936709,0.014200012750749719,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
E_gbm_hazard_weighted,anomaly_forced,0.75,0.7590189873417722,0.014095605981848145,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
E_gbm_hazard_weighted,anomaly_forced,1.0,0.7590189873417722,0.014095605981848145,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
