model,perturbation,level,hazard_class,episodes,episodes_detected,episodes_sustained,detection_rate,sustained_rate,latency_windows_median,latency_windows_max,latency_seconds_median,sustained_latency_windows_median,sustained_latency_seconds_median,persistence_mean,undetected,persist_windows
A_cost_weighted,clean,0.0,Smoke,5,5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3
A_cost_weighted,clean,0.0,Mixture,5,5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3
A_cost_weighted,dropout,1.0,Smoke,5,5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3
A_cost_weighted,dropout,1.0,Mixture,5,5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3
A_cost_weighted,dropout,4.0,Smoke,5,5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3
A_cost_weighted,dropout,4.0,Mixture,5,5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3
A_cost_weighted,dropout,7.0,Smoke,5,5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3
A_cost_weighted,dropout,7.0,Mixture,5,5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3
A_cost_weighted,drift,0.5,Smoke,5,5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3
A_cost_weighted,drift,0.5,Mixture,5,5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3
A_cost_weighted,noise,0.5,Smoke,5,5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3
A_cost_weighted,noise,0.5,Mixture,5,5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3
B_unweighted,clean,0.0,Smoke,5,5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3
B_unweighted,clean,0.0,Mixture,5,5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3
B_unweighted,dropout,1.0,Smoke,5,5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3
B_unweighted,dropout,1.0,Mixture,5,5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3
B_unweighted,dropout,4.0,Smoke,5,5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3
B_unweighted,dropout,4.0,Mixture,5,5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3
B_unweighted,dropout,7.0,Smoke,5,5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3
B_unweighted,dropout,7.0,Mixture,5,5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3
B_unweighted,drift,0.5,Smoke,5,5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3
B_unweighted,drift,0.5,Mixture,5,5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3
B_unweighted,noise,0.5,Smoke,5,5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3
B_unweighted,noise,0.5,Mixture,5,5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.999367088607595,0,3
D_mlp,clean,0.0,Smoke,5,5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3
D_mlp,clean,0.0,Mixture,5,5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3
D_mlp,dropout,1.0,Smoke,5,5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3
D_mlp,dropout,1.0,Mixture,5,5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3
D_mlp,dropout,4.0,Smoke,5,5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9924050632911392,0,3
D_mlp,dropout,4.0,Mixture,5,5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9278481012658227,0,3
D_mlp,dropout,7.0,Smoke,5,3,3,0.6,0.6,0.0,0.0,0.0,0.0,0.0,1.0,2,3
D_mlp,dropout,7.0,Mixture,5,2,2,0.4,0.4,0.0,0.0,0.0,0.0,0.0,1.0,3,3
D_mlp,drift,0.5,Smoke,5,5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3
D_mlp,drift,0.5,Mixture,5,5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9987341772151899,0,3
D_mlp,noise,0.5,Smoke,5,5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9930379746835442,0,3
D_mlp,noise,0.5,Mixture,5,5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9930379746835444,0,3
E_gbm,clean,0.0,Smoke,5,5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9810126582278482,0,3
E_gbm,clean,0.0,Mixture,5,5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3
E_gbm,dropout,1.0,Smoke,5,4,4,0.8,0.8,0.0,43.0,0.0,0.0,0.0,0.7711376176566049,1,3
E_gbm,dropout,1.0,Mixture,5,5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3
E_gbm,dropout,4.0,Smoke,5,5,4,1.0,0.8,0.0,150.0,0.0,0.0,0.0,0.6082704444150228,0,3
E_gbm,dropout,4.0,Mixture,5,5,5,1.0,1.0,0.0,36.0,0.0,0.0,0.0,0.8121609403254973,0,3
E_gbm,dropout,7.0,Smoke,5,3,3,0.6,0.6,0.0,0.0,0.0,0.0,0.0,1.0,2,3
E_gbm,dropout,7.0,Mixture,5,4,4,0.8,0.8,0.0,186.0,0.0,0.0,0.0,0.7788461538461539,1,3
E_gbm,drift,0.5,Smoke,5,5,5,1.0,1.0,0.0,197.0,0.0,0.0,0.0,0.8201680672268907,0,3
E_gbm,drift,0.5,Mixture,5,5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9962025316455696,0,3
E_gbm,noise,0.5,Smoke,5,5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9272151898734176,0,3
E_gbm,noise,0.5,Mixture,5,5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9987341772151899,0,3
RF,clean,0.0,Smoke,5,5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3
RF,clean,0.0,Mixture,5,5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3
RF,dropout,1.0,Smoke,5,5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3
RF,dropout,1.0,Mixture,5,5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3
RF,dropout,4.0,Smoke,5,5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3
RF,dropout,4.0,Mixture,5,5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3
RF,dropout,7.0,Smoke,5,5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3
RF,dropout,7.0,Mixture,5,5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3
RF,drift,0.5,Smoke,5,5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3
RF,drift,0.5,Mixture,5,5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3
RF,noise,0.5,Smoke,5,5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3
RF,noise,0.5,Mixture,5,5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.999367088607595,0,3
ThresholdRule,clean,0.0,Smoke,5,5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3
ThresholdRule,clean,0.0,Mixture,5,5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3
ThresholdRule,dropout,1.0,Smoke,5,5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3
ThresholdRule,dropout,1.0,Mixture,5,5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3
ThresholdRule,dropout,4.0,Smoke,5,5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3
ThresholdRule,dropout,4.0,Mixture,5,5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3
ThresholdRule,dropout,7.0,Smoke,5,5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3
ThresholdRule,dropout,7.0,Mixture,5,5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3
ThresholdRule,drift,0.5,Smoke,5,5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3
ThresholdRule,drift,0.5,Mixture,5,5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9936708860759493,0,3
ThresholdRule,noise,0.5,Smoke,5,5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9930379746835444,0,3
ThresholdRule,noise,0.5,Mixture,5,5,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.930379746835443,0,3
