model,fault,level,decision_acc_mean,decision_acc_std,miss_rate_mean,miss_rate_std,escalation_mean,escalation_std,under_escalation_mean,under_escalation_std,fa_per_clean_mean,fa_per_clean_std,anomaly_mean_mean,anomaly_mean_std
A_cost_weighted,clean,0.0,0.9629746835443038,0.02411820122205365,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2453915933968939,0.03474892131877152
A_cost_weighted,stuck,1.0,0.9325949367088608,0.031309129286366394,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2460341100795735,0.03502541206325732
A_cost_weighted,stuck,4.0,0.8242088607594937,0.07230752979853773,0.0,0.0,0.9990506329113924,0.0018987341772151998,0.000949367088607595,0.0018987341772151902,0.0449367088607595,0.07371176385590211,0.24652058830061346,0.03478099327936663
A_cost_weighted,stuck,7.0,0.886867088607595,0.028895541721122877,0.0,0.0,0.9996835443037975,0.0006329113924050667,0.00031645569620253165,0.0006329113924050633,0.0,0.0,0.24777067238336406,0.03511332271583498
A_cost_weighted,zero,1.0,0.5492088607594937,0.19156380983438157,0.0,0.0,0.9958860759493671,0.008227848101265822,0.004113924050632911,0.008227848101265823,0.6,0.48989794855663565,0.4668619273388782,0.26989732768711244
A_cost_weighted,zero,4.0,0.2998417721518988,0.09968354430379747,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.717048143346245,0.23614822837965785
A_cost_weighted,zero,7.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
A_cost_weighted,saturate,1.0,0.8854430379746836,0.0666163669536127,0.0,0.0,1.0,0.0,0.0,0.0,0.005063291139240506,0.010126582278481013,0.19810107120205855,0.09999620783195325
A_cost_weighted,saturate,4.0,0.4295886075949367,0.11847557767746335,0.10569620253164558,0.19746024001503945,0.6848101265822785,0.31906895680847164,0.20949367088607596,0.32726109415296295,0.16455696202531647,0.32911392405063294,0.16826774908774686,0.12236642191248899
A_cost_weighted,saturate,7.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.010792773796891914,0.0011639445504525732
A_cost_weighted,rawnoise,0.5,0.4427215189873418,0.060946688822157306,0.0,0.0,1.0,0.0,0.0,0.0,0.9867088607594937,0.015163479178115108,0.2850025499764071,0.03401474288493827
A_cost_weighted,rawnoise,1.0,0.3348101265822785,0.08226843901718318,0.0,0.0,1.0,0.0,0.0,0.0,0.9968354430379748,0.004902510564819498,0.4086050817735945,0.026272420560716953
A_cost_weighted,rawnoise,2.0,0.2927215189873418,0.05251400878251928,0.0,0.0,0.999367088607595,0.0012658227848101333,0.0006329113924050633,0.0012658227848101266,0.9968354430379748,0.004902510564819498,0.8059665439199127,0.011694928497423753
B_unweighted,clean,0.0,0.9645569620253165,0.022496194198239457,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2453915933968939,0.03474892131877152
B_unweighted,stuck,1.0,0.9408227848101266,0.027169154470735802,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2460341100795735,0.03502541206325732
B_unweighted,stuck,4.0,0.8129746835443038,0.06267221107236129,0.0,0.0,0.9987341772151899,0.0018452379414067505,0.0012658227848101266,0.0018452379414067408,0.01582278481012658,0.025786770617042227,0.24652058830061346,0.03478099327936663
B_unweighted,stuck,7.0,0.878006329113924,0.027526188896180522,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.24777067238336406,0.03511332271583498
B_unweighted,zero,1.0,0.5088607594936709,0.09371230481824178,0.1,0.20000000000000004,0.9,0.20000000000000004,0.0,0.0,0.6,0.48989794855663565,0.4668619273388782,0.26989732768711244
B_unweighted,zero,4.0,0.3401898734177215,0.180379746835443,0.0,0.0,1.0,0.0,0.0,0.0,0.8,0.4000000000000001,0.717048143346245,0.23614822837965785
B_unweighted,zero,7.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
B_unweighted,saturate,1.0,0.9045886075949368,0.028404432911166656,0.005379746835443038,0.010759493670886076,0.9943037974683545,0.010618963123773757,0.00031645569620253165,0.0006329113924050633,0.0,0.0,0.19810107120205855,0.09999620783195325
B_unweighted,saturate,4.0,0.3867088607594937,0.08634428575988147,0.2759493670886076,0.38583412222951763,0.4525316455696203,0.3681836569642493,0.27151898734177216,0.3695161982889912,0.010759493670886076,0.021518987341772152,0.16826774908774686,0.12236642191248899
B_unweighted,saturate,7.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.010792773796891914,0.0011639445504525732
B_unweighted,rawnoise,0.5,0.4409810126582278,0.052290892571480646,0.0,0.0,1.0,0.0,0.0,0.0,0.9898734177215189,0.010666012371109323,0.2850025499764071,0.03401474288493827
