estimator,ece_mean,ece_std,ece_lo,ece_hi,ece_danger_mean,ece_danger_std,brier_mean,brier_std,nll_mean,acc_mean
deep_ensemble_5,0.03626115499417994,0.011598093494057294,0.01337135705531021,0.06646870373076273,0.00020471909378148146,2.8043292214619417e-05,0.09277495149799997,0.019598966841096615,0.18636490404605865,0.9412974683544304
mc_dropout_20,0.027522404840852645,0.010866177173315792,0.010194459751460558,0.056878493333919124,0.0003142067337337861,5.468559024013243e-05,0.09025002868596145,0.023542819134346357,0.16436541229486465,0.9386075949367088
raw_softmax,0.04305346139907081,0.012396049255731558,0.01709908404057445,0.0755023292643077,0.00021461146541788814,2.9591110972489673e-05,0.09997214461981409,0.026431583236265294,0.20889646410942078,0.9392405063291139
temp_scaling,0.035807198286056524,0.010990349829404094,0.01817298378960431,0.06624893898545185,0.004332629449759857,0.0034893980184319043,0.09350739167940393,0.026625052023972296,0.1786275565624237,0.9392405063291139
