decision_acc_mean,decision_acc_std,miss_rate_mean,miss_rate_std,escalation_mean,escalation_std,under_escalation_mean,under_escalation_std,fa_per_clean_mean,fa_per_clean_std,mean_severity_danger_mean,mean_severity_danger_std,miss_k_pooled,n_danger_pooled,fa_k_pooled,n_clean_pooled,esc_k_pooled,under_esc_k_pooled,miss_upper95_pooled,fa_upper95_pooled,held_out,model
0.0,0.0,0.0001265022137887413,0.00028286754933583676,0.9998734977862114,0.00028286754933582776,0.0,0.0,0.0,0.0,3.9994939911448455,0.001131470197343311,1,7905,0,0,7904,0,0.0005999672741863459,,Smoke,A_cost_weighted
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0,7905,0,0,7905,0,0.0003788949656887697,,Smoke,B_unweighted
0.0,0.0,0.06413662239089184,0.07173300196910175,0.931562302340291,0.0706990644323824,0.004301075268817204,0.006774072478426459,0.0,0.0,3.730550284629981,0.28359323449535523,507,7905,0,0,7364,34,0.0688526379507129,,Smoke,D_mlp
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0,7905,0,0,7905,0,0.0003788949656887697,,Smoke,E_gbm
0.0,0.0,0.0022770398481973438,0.0017089508015314735,0.9275142314990512,0.024438184725704262,0.07020872865275143,0.023897704601280913,0.0,0.0,3.7802656546489564,0.07392617714984125,18,7905,0,0,7332,555,0.0033747114225498465,,Smoke,SVM
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0,7905,0,0,7905,0,0.0003788949656887697,,Smoke,RF
0.0,0.0,0.012017710309930422,0.008752911134154363,0.9428209993674889,0.0048295026360078725,0.04516129032258065,0.009248514472578994,0.0,0.0,3.8164452877925363,0.018158686680913482,95,7905,0,0,7453,357,0.014236336364038819,,Smoke,KNN
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0,7905,0,0,7905,0,0.0003788949656887697,,Smoke,ThresholdRule
0.0,0.0,0.0002530044275774826,0.0005657350986716735,0.2633776091081593,0.17081816005616074,0.7363693864642631,0.17053265579208876,0.0,0.0,1.5265022137887414,0.34192287085749684,2,7905,0,0,2082,5821,0.0007962154569161354,,Mixture,A_cost_weighted
0.0,0.0,0.001265022137887413,0.0028286754933583677,0.2538899430740038,0.20117163452301082,0.7448450347881088,0.2035322930132684,0.0,0.0,1.50651486401012,0.3999917184600467,10,7905,0,0,2007,5888,0.0021448133677533696,,Mixture,B_unweighted
0.0,0.0,0.009867172675521823,0.01508509063707916,0.21733080328905752,0.11678490894951575,0.7728020240354205,0.1114623776442179,0.0,0.0,1.4247944339025933,0.2401400557351112,78,7905,0,0,1718,6109,0.011899987071042216,,Mixture,D_mlp
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0,7905,0,0,7905,0,0.0003788949656887697,,Mixture,E_gbm
0.0,0.0,0.0002530044275774826,0.0003464405803321734,0.0049335863377609115,0.007968133347639987,0.9948134092346617,0.008166499315157222,0.0,0.0,1.0096141682479443,0.015745587806519384,2,7905,0,0,39,7864,0.0007962154569161354,,Mixture,SVM
0.0,0.0,0.0,0.0,0.9830487033523087,0.0162211653391978,0.016951296647691336,0.016221165339197773,0.0,0.0,2.966097406704617,0.03244233067839564,0,7905,0,0,7771,134,0.0003788949656887697,,Mixture,RF
0.0,0.0,0.025426944971537004,0.014440104415054791,0.20177103099304236,0.07060506624341198,0.7728020240354206,0.08464004954813413,0.0,0.0,1.3781151170145478,0.1273111391314657,201,7905,0,0,1595,6109,0.02853563252919961,,Mixture,KNN
0.0,0.0,0.24870335230866542,0.26105065924383153,0.5673624288425048,0.39518834006523534,0.18393421884882985,0.20346289425697256,0.0,0.0,1.886021505376344,1.0289271043845456,1966,7905,0,0,4485,1454,0.2568313543065673,,Mixture,ThresholdRule
