decision_acc_mean,decision_acc_std,miss_rate_mean,miss_rate_std,escalation_mean,escalation_std,under_escalation_mean,under_escalation_std,fa_per_clean_mean,fa_per_clean_std,mean_severity_danger_mean,mean_severity_danger_std,miss_k_pooled,n_danger_pooled,fa_k_pooled,n_clean_pooled,esc_k_pooled,under_esc_k_pooled,miss_upper95_pooled,fa_upper95_pooled,held_out,model
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0,7905,0,0,7905,0,0.0003788949656887697,,Smoke,A_cost_weighted
0.0,0.0,0.0,0.0,0.9834282099936749,0.004866637333756199,0.016571790006325113,0.004866637333756191,0.0,0.0,3.9597722960151804,0.018143257800690583,0,7905,0,0,7774,131,0.0003788949656887697,,Smoke,Ordinal
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0,7905,0,0,7905,0,0.0003788949656887697,,Smoke,B_unweighted
0.0,0.0,0.06413662239089184,0.07173300196910175,0.931562302340291,0.0706990644323824,0.004301075268817204,0.006774072478426459,0.0,0.0,3.730550284629981,0.28359323449535523,507,7905,0,0,7364,34,0.0688526379507129,,Smoke,D_mlp
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0,7905,0,0,7905,0,0.0003788949656887697,,Smoke,E_gbm
0.0,0.0,0.0022770398481973438,0.0017089508015314735,0.9275142314990512,0.024438184725704262,0.07020872865275143,0.023897704601280913,0.0,0.0,3.7802656546489564,0.07392617714984125,18,7905,0,0,7332,555,0.0033747114225498465,,Smoke,SVM
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0,7905,0,0,7905,0,0.0003788949656887697,,Smoke,RF
0.0,0.0,0.007337128399746995,0.010086518981746067,0.9922833649588867,0.010568803832615013,0.0003795066413662239,0.0008486026480075104,0.0,0.0,3.9695129664769135,0.04177542883970745,58,7905,0,0,7844,3,0.009122332734798379,,Smoke,LSTM
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0,7905,0,0,7905,0,0.0003788949656887697,,Smoke,CQL
0.0,0.0,0.012017710309930422,0.008752911134154363,0.9428209993674889,0.0048295026360078725,0.04516129032258065,0.009248514472578994,0.0,0.0,3.8164452877925363,0.018158686680913482,95,7905,0,0,7453,357,0.014236336364038819,,Smoke,KNN
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0,7905,0,0,7905,0,0.0003788949656887697,,Smoke,ThresholdRule
0.0,0.0,0.0002530044275774826,0.0005657350986716735,0.2593295382669197,0.18841081062416015,0.7404174573055029,0.1883235189383182,0.0,0.0,1.5184060721062618,0.37691015634803776,2,7905,0,0,2050,5853,0.0007962154569161354,,Mixture,A_cost_weighted
0.0,0.0,0.0,0.0,0.3857052498418722,0.1916317523562485,0.6142947501581278,0.1916317523562485,0.0,0.0,1.9611638203668567,0.5606127975225466,0,7905,0,0,3049,4856,0.0003788949656887697,,Mixture,Ordinal
0.0,0.0,0.0007590132827324478,0.001697205296015021,0.26831119544592025,0.1948685407914325,0.7309297912713473,0.19631731383054785,0.0,0.0,1.535863377609108,0.38829132779301156,6,7905,0,0,2121,5778,0.001497535708999987,,Mixture,B_unweighted
0.0,0.0,0.009867172675521823,0.01508509063707916,0.21733080328905752,0.11678490894951575,0.7728020240354205,0.1114623776442179,0.0,0.0,1.4247944339025933,0.2401400557351112,78,7905,0,0,1718,6109,0.011899987071042216,,Mixture,D_mlp
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0,7905,0,0,7905,0,0.0003788949656887697,,Mixture,E_gbm
0.0,0.0,0.0002530044275774826,0.0003464405803321734,0.0049335863377609115,0.007968133347639987,0.9948134092346617,0.008166499315157222,0.0,0.0,1.0096141682479443,0.015745587806519384,2,7905,0,0,39,7864,0.0007962154569161354,,Mixture,SVM
0.0,0.0,0.0,0.0,0.9830487033523087,0.0162211653391978,0.016951296647691336,0.016221165339197773,0.0,0.0,2.966097406704617,0.03244233067839564,0,7905,0,0,7771,134,0.0003788949656887697,,Mixture,RF
0.0,0.0,0.0075901328273244775,0.008450594064444901,0.6740037950664137,0.11585196090897311,0.3184060721062619,0.12271171180305455,0.0,0.0,2.3404174573055028,0.2250066005066955,60,7905,0,0,5328,2517,0.00940187765937942,,Mixture,LSTM
0.0,0.0,0.0,0.0,0.46907020872865274,0.25875833793731284,0.5309297912713472,0.25875833793731284,0.0,0.0,1.9381404174573056,0.5175166758746255,0,7905,0,0,3708,4197,0.0003788949656887697,,Mixture,CQL
0.0,0.0,0.025426944971537004,0.014440104415054791,0.20177103099304236,0.07060506624341198,0.7728020240354206,0.08464004954813413,0.0,0.0,1.3781151170145478,0.1273111391314657,201,7905,0,0,1595,6109,0.02853563252919961,,Mixture,KNN
0.0,0.0,0.24870335230866542,0.26105065924383153,0.5673624288425048,0.39518834006523534,0.18393421884882985,0.20346289425697256,0.0,0.0,1.886021505376344,1.0289271043845456,1966,7905,0,0,4485,1454,0.2568313543065673,,Mixture,ThresholdRule
