seed,estimator,T,ece,ece_lo,ece_hi,ece_danger,brier,nll,acc
42,raw_softmax,,0.061323349941757664,0.02748165481688479,0.1014445347687866,0.0002035511822640208,0.1390565206821815,0.29959937930107117,0.9161392405063291
42,mc_dropout_20,,0.036755508755015424,0.012555553175249626,0.07152944464130398,0.00028903508865378395,0.12648629202412326,0.22979137301445007,0.9145569620253164
42,temp_scaling,1.3190954773869348,0.04888335273518594,0.020710465105109006,0.0875282274570929,0.00212222101944911,0.13173771187022504,0.2501499354839325,0.9161392405063291
42,deep_ensemble_5,,0.04423541514367997,0.01975631110157959,0.07675172174349422,0.0002242206961293655,0.11371463034493125,0.23643700778484344,0.930379746835443
1337,raw_softmax,,0.04193069946162308,0.016178994388850038,0.07355424882844087,0.00021893248150620982,0.08981218760521362,0.19697809219360352,0.946993670886076
1337,mc_dropout_20,,0.029625798752413515,0.008900454650998486,0.05772103699914447,0.00038006411323064193,0.07885008451643359,0.14971162378787994,0.9477848101265823
1337,temp_scaling,1.6080402010050252,0.032986582928820514,0.01693540928543465,0.06229104893282054,0.007735686117335198,0.08048709454146985,0.1530839204788208,0.946993670886076
1337,deep_ensemble_5,,0.04015106778544714,0.014630403500521857,0.0748138269291648,0.0002414464384694662,0.09577958846455041,0.1904180943965912,0.9430379746835443
7,raw_softmax,,0.04308260229852377,0.018538225636098405,0.07720787583885691,0.0002630639679824183,0.11379637421342986,0.2496449202299118,0.9311708860759493
7,mc_dropout_20,,0.026441498977851276,0.010637519506242463,0.06005178238795714,0.0003661639705489054,0.10105033220760937,0.1999448835849762,0.9319620253164557
7,temp_scaling,1.2035175879396984,0.03767731375520742,0.016042236707326546,0.0712788525243773,0.0012653203138822224,0.11010582359402747,0.22371110320091248,0.9311708860759493
7,deep_ensemble_5,,0.03961803547189207,0.015198979806154976,0.07108709670343917,0.00020144634608981627,0.10406937594142288,0.23305796086788177,0.932753164556962
2024,raw_softmax,,0.04259200578060329,0.01745609977058596,0.07104350023938318,0.0002022369564334045,0.08402314916427903,0.16247104108333588,0.9462025316455697
2024,mc_dropout_20,,0.03521770932063271,0.0142188015370335,0.059591326959242547,0.00026829418125031063,0.07577841936256824,0.1341460794210434,0.946993670886076
2024,temp_scaling,1.3190954773869348,0.04040261640956131,0.021257787915771903,0.06609329673921382,0.002024090837074239,0.07784752622808662,0.14348819851875305,0.9462025316455697
2024,deep_ensemble_5,,0.04153926599817941,0.013989511718148299,0.07315529394965571,0.00017689856924587956,0.08820417478963037,0.17170992493629456,0.944620253164557
99,raw_softmax,,0.026338649512846254,0.00584044559045306,0.05426148664607089,0.00018527273890338737,0.07317249143396644,0.13578888773918152,0.9556962025316456
99,mc_dropout_20,,0.009571508398350293,0.004659969887778716,0.03549887568194748,0.0002674763149852887,0.06908501531907278,0.10823310166597366,0.9517405063291139
99,temp_scaling,1.6658291457286432,0.019086125601507426,0.015919019934379438,0.044053269273754705,0.008515828961058517,0.06735880216321068,0.12270462512969971,0.9556962025316456
99,deep_ensemble_5,,0.015761990571701082,0.0032815791501463274,0.03653557932805975,0.0001795834189728798,0.06210698794946495,0.10020153224468231,0.9556962025316456
