decision_acc_mean,decision_acc_std,miss_rate_mean,miss_rate_std,escalation_mean,escalation_std,under_escalation_mean,under_escalation_std,fa_per_clean_mean,fa_per_clean_std,mean_severity_danger_mean,mean_severity_danger_std,miss_k_pooled,n_danger_pooled,fa_k_pooled,n_clean_pooled,esc_k_pooled,under_esc_k_pooled,miss_upper95_pooled,fa_upper95_pooled,model,perturbation,level
0.9629746835443038,0.026964968713765226,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0,3160,0,1580,3160,0,0.0009475673165507681,0.001894236749282019,A_cost_weighted,clean,0.0
0.9555379746835444,0.027022935521954006,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0,3160,0,1580,3160,0,0.0009475673165507681,0.001894236749282019,A_cost_weighted,noise,0.1
0.9313291139240507,0.02659098900384358,0.0,0.0,1.0,0.0,0.0,0.0,0.00949367088607595,0.012458873218373117,3.5,0.0,0,3160,15,1580,3160,0,0.0009475673165507681,0.014580960726003744,A_cost_weighted,noise,0.2
0.9039556962025317,0.025578401565820988,0.0,0.0,1.0,0.0,0.0,0.0,0.036075949367088606,0.026533257995258967,3.5,0.0,0,3160,57,1580,3160,0,0.0009475673165507681,0.04477901759943241,A_cost_weighted,noise,0.3
0.8707278481012658,0.0234863112006098,0.0,0.0,1.0,0.0,0.0,0.0,0.08544303797468354,0.03856347343972766,3.5003164556962028,0.0007076164485757873,0,3160,135,1580,3160,0,0.0009475673165507681,0.09790781895060888,A_cost_weighted,noise,0.4
0.8386075949367088,0.02157940141928141,0.0,0.0,1.0,0.0,0.0,0.0,0.13734177215189872,0.04718268470806017,3.500949367088608,0.0008666496163055255,0,3160,217,1580,3160,0,0.0009475673165507681,0.15240212269376507,A_cost_weighted,noise,0.5
0.9591772151898734,0.024764048369601815,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0,3160,0,1580,3160,0,0.0009475673165507681,0.001894236749282019,A_cost_weighted,drift,0.1
0.9444620253164556,0.03276023436204104,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0,3160,0,1580,3160,0,0.0009475673165507681,0.001894236749282019,A_cost_weighted,drift,0.2
0.9365506329113924,0.034977839655193105,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0,3160,0,1580,3160,0,0.0009475673165507681,0.001894236749282019,A_cost_weighted,drift,0.3
0.9261075949367088,0.0373958723635183,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0,3160,0,1580,3160,0,0.0009475673165507681,0.001894236749282019,A_cost_weighted,drift,0.4
0.9080696202531644,0.05028061776024821,0.0,0.0,1.0,0.0,0.0,0.0,0.0006329113924050633,0.0014152328971517656,3.4848101265822784,0.03396558953164236,0,3160,1,1580,3160,0,0.0009475673165507681,0.002998891043992928,A_cost_weighted,drift,0.5
0.8846518987341773,0.09635738182852056,0.0,0.0,1.0,0.0,0.0,0.0,0.12848101265822784,0.2872922781218084,3.5,0.0,0,3160,203,1580,3160,0,0.0009475673165507681,0.14315816116445662,A_cost_weighted,dropout,1.0
0.7941455696202532,0.057702748065177556,0.00031645569620253165,0.0007076164485758828,0.9996835443037975,0.0007076164485758866,0.0,0.0,0.08354430379746836,0.12375400469195048,3.4765822784810125,0.05236361719461541,1,3160,132,1580,3159,0,0.0015003339422676668,0.09589478502941078,A_cost_weighted,dropout,2.0
0.8107594936708862,0.11616203472032907,0.0,0.0,0.9924050632911392,0.015275339729300197,0.00759493670886076,0.015275339729300216,0.14113924050632912,0.3138308865432175,3.437658227848101,0.09278683922004631,0,3160,223,1580,3136,24,0.0009475673165507681,0.15635765648069255,A_cost_weighted,dropout,3.0
0.7251582278481011,0.13198232397079032,0.0,0.0,1.0,0.0,0.0,0.0,0.20822784810126582,0.33413735617679996,3.4617088607594937,0.05644766006834261,0,3160,329,1580,3160,0,0.0009475673165507681,0.22574288042918825,A_cost_weighted,dropout,4.0
0.6944620253164557,0.07420995721302745,0.005379746835443038,0.0103515362239216,0.9943037974683545,0.010290894013613359,0.00031645569620253165,0.0007076164485758828,0.18227848101265823,0.35529533923263873,3.518354430379747,0.1432447116939984,17,3160,288,1580,3142,1,0.00805852104994029,0.1990048927063435,A_cost_weighted,dropout,5.0
