decision_acc_mean,decision_acc_std,miss_rate_mean,miss_rate_std,escalation_mean,escalation_std,under_escalation_mean,under_escalation_std,fa_per_clean_mean,fa_per_clean_std,mean_severity_danger_mean,mean_severity_danger_std,miss_k_pooled,n_danger_pooled,fa_k_pooled,n_clean_pooled,esc_k_pooled,under_esc_k_pooled,miss_upper95_pooled,fa_upper95_pooled,protocol,model
0.9955696202531644,0.0009020375198569179,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0,3160,0,1580,3160,0,0.0009475673165507681,0.001894236749282019,random,A_cost_weighted
0.9944620253164557,0.0014800859916036238,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0,3160,0,1580,3160,0,0.0009475673165507681,0.001894236749282019,random,D_mlp
0.9939873417721519,0.004426139471740287,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0,3160,0,1580,3160,0,0.0009475673165507681,0.001894236749282019,random,E_gbm
0.9927215189873417,0.003134748853822595,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0,3160,0,1580,3160,0,0.0009475673165507681,0.001894236749282019,random,RF
0.992879746835443,0.002438454906237696,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0,3160,0,1580,3160,0,0.0009475673165507681,0.001894236749282019,random,KNN
0.9223101265822786,0.0036853843983709056,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5006329113924055,0.0008666496163055256,0,3160,0,1580,3160,0,0.0009475673165507681,0.001894236749282019,random,ThresholdRule
0.9669303797468354,0.022372600830162445,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0,3160,0,1580,3160,0,0.0009475673165507681,0.001894236749282019,blocked_noembargo,A_cost_weighted
0.9637658227848102,0.010306088018659556,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0,3160,0,1580,3160,0,0.0009475673165507681,0.001894236749282019,blocked_noembargo,D_mlp
0.9295886075949369,0.05530340579057075,0.00949367088607595,0.021228493457276485,0.9905063291139241,0.021228493457276496,0.0,0.0,0.0,0.0,3.4718354430379748,0.06297786392325361,30,3160,0,1580,3130,0,0.012854937379289515,0.001894236749282019,blocked_noembargo,E_gbm
0.9549050632911392,0.04852141518890382,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0,3160,0,1580,3160,0,0.0009475673165507681,0.001894236749282019,blocked_noembargo,RF
0.9525316455696202,0.029068311821002897,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0,3160,0,1580,3160,0,0.0009475673165507681,0.001894236749282019,blocked_noembargo,KNN
0.9294303797468354,0.02977774955719311,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5003164556962028,0.0007076164485757873,0,3160,0,1580,3160,0,0.0009475673165507681,0.001894236749282019,blocked_noembargo,ThresholdRule
