model,perturbation,level,on_delay,off_delay,n_clean_windows,indications_mean,episodes_mean,episodes_std,indications_per_hour,episodes_per_hour,compression
A_cost_weighted,dropout,4.0,1,15,316.0,65.8,2.0,1.7888543819998317,374.8101265822785,11.39240506329114,32.9
A_cost_weighted,dropout,4.0,1,30,316.0,65.8,1.8,1.8330302779823362,374.8101265822785,10.253164556962025,36.55555555555555
A_cost_weighted,dropout,4.0,1,60,316.0,65.8,1.2,1.1661903789690602,374.8101265822785,6.8354430379746836,54.833333333333336
A_cost_weighted,dropout,4.0,2,5,316.0,65.8,3.2,2.7129319932501077,374.8101265822785,18.227848101265824,20.562499999999996
A_cost_weighted,dropout,4.0,2,10,316.0,65.8,2.4,2.0591260281974,374.8101265822785,13.670886075949367,27.416666666666668
A_cost_weighted,dropout,4.0,2,15,316.0,65.8,2.0,1.7888543819998317,374.8101265822785,11.39240506329114,32.9
A_cost_weighted,dropout,4.0,2,30,316.0,65.8,1.8,1.8330302779823362,374.8101265822785,10.253164556962025,36.55555555555555
A_cost_weighted,dropout,4.0,2,60,316.0,65.8,1.2,1.1661903789690602,374.8101265822785,6.8354430379746836,54.833333333333336
A_cost_weighted,dropout,4.0,3,5,316.0,65.8,2.6,2.33238075793812,374.8101265822785,14.810126582278482,25.307692307692307
A_cost_weighted,dropout,4.0,3,10,316.0,65.8,2.0,1.6733200530681511,374.8101265822785,11.39240506329114,32.9
A_cost_weighted,dropout,4.0,3,15,316.0,65.8,1.8,1.6,374.8101265822785,10.253164556962025,36.55555555555555
A_cost_weighted,dropout,4.0,3,30,316.0,65.8,1.6,1.624807680927192,374.8101265822785,9.113924050632912,41.12499999999999
A_cost_weighted,dropout,4.0,3,60,316.0,65.8,1.0,0.8944271909999159,374.8101265822785,5.69620253164557,65.8
A_cost_weighted,dropout,4.0,5,5,316.0,65.8,2.4,2.244994432064365,374.8101265822785,13.670886075949367,27.416666666666668
A_cost_weighted,dropout,4.0,5,10,316.0,65.8,1.8,1.4696938456699067,374.8101265822785,10.253164556962025,36.55555555555555
A_cost_weighted,dropout,4.0,5,15,316.0,65.8,1.6,1.3564659966250538,374.8101265822785,9.113924050632912,41.12499999999999
A_cost_weighted,dropout,4.0,5,30,316.0,65.8,1.4,1.3564659966250538,374.8101265822785,7.974683544303797,47.0
A_cost_weighted,dropout,4.0,5,60,316.0,65.8,0.8,0.7483314773547883,374.8101265822785,4.556962025316456,82.24999999999999
A_cost_weighted,dropout,4.0,10,5,316.0,65.8,1.8,1.8330302779823362,374.8101265822785,10.253164556962025,36.55555555555555
A_cost_weighted,dropout,4.0,10,10,316.0,65.8,1.4,1.2,374.8101265822785,7.974683544303797,47.0
A_cost_weighted,dropout,4.0,10,15,316.0,65.8,1.2,0.9797958971132713,374.8101265822785,6.8354430379746836,54.833333333333336
A_cost_weighted,dropout,4.0,10,30,316.0,65.8,1.0,0.8944271909999159,374.8101265822785,5.69620253164557,65.8
A_cost_weighted,dropout,4.0,10,60,316.0,65.8,0.8,0.7483314773547883,374.8101265822785,4.556962025316456,82.24999999999999
A_cost_weighted,dropout,7.0,1,5,316.0,316.0,1.0,0.0,1800.0,5.69620253164557,316.0
A_cost_weighted,dropout,7.0,1,10,316.0,316.0,1.0,0.0,1800.0,5.69620253164557,316.0
