model,acc_mean,acc_std,miss_mean,miss_std,fa_mean,fa_std,boundary_miss_mean,boundary_miss_std
A_decision_agent,0.9583860759493671,0.03396651089472982,0.0,0.0,0.0,0.0,0.0,0.0
B_plain_dqn,0.9563291139240505,0.03782357196959348,0.0,0.0,0.0,0.0,0.0,0.0
D_mlp,0.9615506329113923,0.011098530327057066,0.0,0.0,0.0,0.0,0.0,0.0
E_gbm,0.9634493670886076,0.021120602619034978,0.009810126582278481,0.021936109905852368,0.0,0.0,0.2,0.44721359549995804
