estimator,ece_mean,ece_std,acc_mean,acc_std
raw_softmax,0.048886788115276004,0.06994036378884631,0.9541139240506329,0.03626750029256992
mc_dropout_20,0.05334908070621107,0.06916652770120285,0.9541139240506329,0.03552646854322423
temp_scaling,0.03192603651192104,0.039745230472623475,0.9541139240506329,0.03626750029256992
deep_ensemble_5,0.012313971056340797,0.004254374669607921,0.9648734177215189,0.02077851571383263
