model,acc_mean,acc_std,miss_mean,miss_std,fa_mean,fa_std
A_decision_agent,0.9632911392405064,0.02154020965799167,0.0,0.0,0.0,0.0
B_plain_dqn,0.9563291139240505,0.03782357196959348,0.0,0.0,0.0,0.0
D_mlp,0.9615506329113923,0.011098530327057066,0.0,0.0,0.0,0.0
E_gbm,0.9634493670886076,0.021120602619034978,0.009810126582278481,0.021936109905852368,0.0,0.0
SVM,0.9511075949367089,0.019031791326008983,0.0,0.0,0.0,0.0
RF,0.9768987341772153,0.008637559534149453,0.0,0.0,0.0,0.0
LSTM,0.9680379746835444,0.02305597476317324,0.0,0.0,0.0,0.0
CQL,0.9436708860759495,0.04793546541691672,0.0,0.0,0.0,0.0
